日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2014-07-21,'601398,工商银行,3.42,3.45,3.41,3.45,3.45,-0.03,-0.8696,0.0152,40266316,138149793,1.20180484256E+12,9.04969210202E+11,None
2014-07-22,'601398,工商银行,3.43,3.45,3.41,3.41,3.42,0.01,0.2924,0.0201,53147448,182250510,1.20531889181E+12,9.07615319004E+11,None
2014-07-23,'601398,工商银行,3.44,3.45,3.42,3.43,3.43,0.01,0.2915,0.0184,48761920,167686443,1.20883294106E+12,9.10261427805E+11,None
2014-07-24,'601398,工商银行,3.48,3.49,3.43,3.44,3.44,0.04,1.1628,0.0356,94244153,327063101,1.22288913805E+12,9.20845863012E+11,None
2014-07-25,'601398,工商银行,3.52,3.52,3.48,3.49,3.48,0.04,1.1494,0.0258,68339725,239362689,1.23694533504E+12,9.3143029822E+11,None
2014-07-28,'601398,工商银行,3.6,3.62,3.53,3.53,3.52,0.08,2.2727,0.0822,217488793,780449659,1.26505772901E+12,9.52599168634E+11,None
2014-07-29,'601398,工商银行,3.59,3.61,3.57,3.6,3.6,-0.01,-0.2778,0.0422,111754292,401561736,1.26154367977E+12,9.49953059832E+11,None
2014-07-30,'601398,工商银行,3.57,3.6,3.55,3.59,3.59,-0.02,-0.5571,0.0358,94851128,339551731,1.25451558127E+12,9.44660842228E+11,None
2014-07-31,'601398,工商银行,3.6,3.6,3.55,3.57,3.57,0.03,0.8403,0.0282,74602213,266562206,1.26505772901E+12,9.52599168634E+11,None
2014-08-01,'601398,工商银行,3.59,3.62,3.58,3.59,3.6,-0.01,-0.2778,0.0388,102543180,369978476,1.26154367977E+12,9.49953059832E+11,None
2014-08-04,'601398,工商银行,3.61,3.62,3.58,3.59,3.59,0.02,0.5571,0.0371,98156081,353362641,1.26857177826E+12,9.55245277435E+11,None
2014-08-05,'601398,工商银行,3.59,3.62,3.57,3.61,3.61,-0.02,-0.554,0.0388,102705694,368653772,1.26154367977E+12,9.49953059832E+11,None
2014-08-06,'601398,工商银行,3.58,3.59,3.55,3.58,3.59,-0.01,-0.2786,0.0275,72821156,259875186,1.25827100212E+12,9.47548322631E+11,None
2014-08-07,'601398,工商银行,3.52,3.58,3.51,3.57,3.58,-0.06,-1.676,0.0386,102245067,363092997,1.2371826613E+12,9.31667624487E+11,None
2014-08-08,'601398,工商银行,3.51,3.53,3.47,3.52,3.52,-0.01,-0.2841,0.0318,84117583,295163850,1.23366793783E+12,9.29020841463E+11,None
2014-08-11,'601398,工商银行,3.56,3.59,3.5,3.51,3.51,0.05,1.4245,0.0321,84838724,301213132,1.25124155518E+12,9.42254756583E+11,None
2014-08-12,'601398,工商银行,3.53,3.57,3.52,3.57,3.56,-0.03,-0.8427,0.0182,48251190,170637053,1.24069738477E+12,9.34314407511E+11,None
2014-08-13,'601398,工商银行,3.51,3.54,3.5,3.53,3.53,-0.02,-0.5666,0.0289,76447456,269019856,1.23366793783E+12,9.29020841463E+11,None
2014-08-14,'601398,工商银行,3.51,3.54,3.5,3.52,3.51,0,0,0.0202,53468957,188247730,1.23366793783E+12,9.29020841463E+11,None
2014-08-15,'601398,工商银行,3.52,3.53,3.5,3.51,3.51,0.01,0.2849,0.0187,49403769,173885558,1.2371826613E+12,9.31667624487E+11,None
2014-08-18,'601398,工商银行,3.51,3.54,3.5,3.52,3.52,-0.01,-0.2841,0.0291,76953081,270731290,1.23366793783E+12,9.29020841463E+11,None
2014-08-19,'601398,工商银行,3.52,3.52,3.5,3.52,3.51,0.01,0.2849,0.0197,52016791,182500052,1.2371826613E+12,9.31667624487E+11,None
2014-08-20,'601398,工商银行,3.52,3.53,3.5,3.51,3.52,0,0,0.018,47680676,167408799,1.2371826613E+12,9.31667624487E+11,None
2014-08-21,'601398,工商银行,3.5,3.52,3.48,3.51,3.52,-0.02,-0.5682,0.0226,59879014,209451071,1.23015321436E+12,9.26374058438E+11,None
2014-08-22,'601398,工商银行,3.51,3.51,3.49,3.5,3.5,0.01,0.2857,0.0173,45891569,160718151,1.23366793783E+12,9.29020841463E+11,None
2014-08-25,'601398,工商银行,3.5,3.51,3.48,3.51,3.51,-0.01,-0.2849,0.0235,62128292,217130609,1.23015321436E+12,9.26374058438E+11,None
2014-08-26,'601398,工商银行,3.49,3.51,3.48,3.49,3.5,-0.01,-0.2857,0.021,55553105,193874314,1.22663849089E+12,9.23727275414E+11,None
2014-08-27,'601398,工商银行,3.49,3.49,3.47,3.49,3.49,0,0,0.0183,48391648,168422297,1.22663849089E+12,9.23727275414E+11,None
2014-08-28,'601398,工商银行,3.44,3.49,3.43,3.48,3.49,-0.05,-1.4327,0.0231,61143605,211233343,1.20906487355E+12,9.10493360294E+11,None
2014-08-29,'601398,工商银行,3.46,3.48,3.43,3.45,3.44,0.02,0.5814,0.026,68933756,238208817,1.21609432049E+12,9.15786926342E+11,None
2014-09-01,'601398,工商银行,3.48,3.5,3.45,3.47,3.46,0.02,0.578,0.0248,65646664,228556178,1.22312376742E+12,9.2108049239E+11,None
2014-09-02,'601398,工商银行,3.52,3.53,3.47,3.48,3.48,0.04,1.1494,0.0355,94003817,328181473,1.2371826613E+12,9.31667624487E+11,None
2014-09-03,'601398,工商银行,3.55,3.56,3.51,3.52,3.52,0.03,0.8523,0.0336,89031759,315275884,1.24772683171E+12,9.39607973559E+11,None
2014-09-04,'601398,工商银行,3.59,3.59,3.54,3.56,3.55,0.04,1.1268,0.0306,80954574,289018084,1.26178572559E+12,9.50195105655E+11,None
2014-09-05,'601398,工商银行,3.61,3.61,3.58,3.59,3.59,0.02,0.5571,0.0369,97710995,351623842,1.26892633067E+12,9.55599829845E+11,None
2014-09-09,'601398,工商银行,3.59,3.61,3.58,3.61,3.61,-0.02,-0.554,0.0189,49912621,179309281,1.2618962679E+12,9.50305647963E+11,None
2014-09-10,'601398,工商银行,3.56,3.58,3.55,3.58,3.59,-0.03,-0.8357,0.0251,66518386,236905181,1.25135117374E+12,9.42364375138E+11,None
